,vl,vr,rpm_l,rpm_r,pwm,rpm_mean
0,-0.553,-0.565,-195,-199,-100,-197
1,-0.535,-0.532,-189,-187,-95,-188
2,-0.519,-0.507,-183,-179,-90,-181
3,-0.489,-0.474,-172,-167,-85,-169.5
4,-0.453,-0.441,-160,-155,-80,-157.5
5,-0.412,-0.406,-145,-143,-75,-144
6,-0.382,-0.363,-135,-128,-70,-131.5
7,-0.346,-0.33,-122,-116,-65,-119
8,-0.318,-0.286,-112,-101,-60,-106.5
9,-0.282,-0.255,-99,-90,-55,-94.5
10,-0.251,-0.224,-88,-79,-50,-83.5
11,-0.213,-0.182,-75,-64,-45,-69.5
12,-0.184,-0.15,-65,-53,-40,-59
13,-0.145,-0.11,-51,-38,-35,-44.5
14,-0.114,-0.065,-40,-22,-30,-31
15,-0.076,-0.03,-27,-10,-25,-18.5
16,-0.048,0,-17,0,-20,-8.5
17,0,0,0,0,-15,0
18,0,0,0,0,-10,0
19,0,0,0,0,-5,0
20,0,0,0,0,0,0
21,0,0,0,0,5,0
22,0,0,0,0,10,0
23,0,0,0,0,15,0
24,0.041,0,14,0,20,7
25,0.074,0.045,26,15,25,20.5
26,0.108,0.091,38,32,30,35
27,0.145,0.121,51,42,35,46.5
28,0.174,0.149,61,52,40,56.5
29,0.211,0.167,74,58,45,66
30,0.243,0.218,85,76,50,80.5
31,0.279,0.243,98,85,55,91.5
32,0.319,0.286,112,101,60,106.5
33,0.355,0.316,125,111,65,118
34,0.397,0.35,140,123,70,131.5
35,0.428,0.392,151,138,75,144.5
36,0.459,0.428,162,151,80,156.5
37,0.499,0.45,176,159,85,167.5
38,0.532,0.48,188,169,90,178.5
39,0.558,0.506,197,178,95,187.5
40,0.582,0.536,206,189,100,197.5
